       Omega           X           Y   Intensity        Size       Eig 1       Eig 2       Eig 3      Eigv 1      Eigv 2      Eigv 3      Eigv 4      Eigv 5      Eigv 6      Eigv 7      Eigv 8      Eigv 9
      180.00      899.00      719.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      176.00     1286.00     1073.00     468.019       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      180.00      892.00     1200.00    1619.345       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      181.00      896.00      717.00     224.649       2.000       0.500       0.000       0.000       0.000       1.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000
      181.00      897.00      719.00     224.649       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      184.00      893.00      719.00     252.730      31.000       3.209       2.372       1.947       0.966       0.079      -0.245      -0.257       0.307      -0.916      -0.003      -0.949      -0.317
      185.00      896.00      718.00     234.009       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      189.00      892.00      719.00     234.009       4.000       1.500       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000      -1.000       0.000       0.000
      189.00      897.00      719.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      190.00      900.00      718.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      182.00      886.00      721.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      185.00      887.00      721.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      181.00     1287.00     1210.00     205.928       4.000       0.500       0.354       0.354       0.000      -0.707      -0.707       0.000      -0.707       0.707      -1.000       0.000       0.000
      181.00     1296.00     1210.00     234.009       7.000       0.920       0.627       1.088       0.439      -0.766       0.470       0.080      -0.488      -0.869      -0.895      -0.419       0.153
      181.00     1293.00     1212.00     336.973      41.000       3.135       2.523       1.509      -0.130       0.289      -0.948      -0.269      -0.931      -0.247       0.954      -0.223      -0.199
      181.00     1302.00     1212.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      181.00     1294.00     1215.00     308.892      33.000       3.218       3.316       0.692       0.035      -0.132      -0.991      -0.029       0.991      -0.133       0.999       0.033       0.031
      182.00     1291.00     1216.00     308.892     159.000       8.058       4.002       4.258      -0.074      -0.576       0.814      -0.385      -0.736      -0.557       0.920      -0.355      -0.167
      185.00     1287.00     1210.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      186.00     1293.00     1214.00     290.172      86.000       3.859       4.619       4.781      -0.207      -0.580      -0.788      -0.324       0.800      -0.504       0.923       0.151      -0.354
      186.00     1286.00     1215.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      186.00     1294.00     1217.00     271.451      12.000       1.836       0.991       0.979       0.480      -0.846       0.232      -0.815      -0.528      -0.238       0.324      -0.075      -0.943
      186.00     1298.00     1222.00     187.207       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      187.50     1291.00     1217.50     280.811      57.000       3.743       2.792       2.871       0.195       0.235      -0.445      -0.042       0.335      -0.206      -0.411      -0.586       0.369
